[2023-11-27 15:18:45,812][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 15:18:45,812][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 15:18:53,851][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 15:18:54,012][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2023-11-27 15:19:15,048][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 15:19:15,052][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 15:19:15,066][rfdiffusion.inference.model_runners][INFO] - Sequence init: --------------
[2023-11-27 15:19:17,573][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: --------------
[2023-11-27 15:19:18,063][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: --------------
[2023-11-27 15:19:18,549][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: --------------
[2023-11-27 15:19:19,142][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: --------------
[2023-11-27 15:19:19,626][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: --------------
[2023-11-27 15:19:20,110][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: --------------
[2023-11-27 15:19:20,593][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: --------------
[2023-11-27 15:19:21,077][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: --------------
[2023-11-27 15:19:21,560][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: --------------
[2023-11-27 15:19:22,043][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: --------------
[2023-11-27 15:19:22,526][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: --------------
[2023-11-27 15:19:23,009][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: --------------
[2023-11-27 15:19:23,492][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: --------------
[2023-11-27 15:19:23,978][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: --------------
[2023-11-27 15:19:24,464][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: --------------
[2023-11-27 15:19:24,948][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: --------------
[2023-11-27 15:19:25,430][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: --------------
[2023-11-27 15:19:25,912][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: --------------
[2023-11-27 15:19:26,394][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: --------------
[2023-11-27 15:19:26,878][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: --------------
[2023-11-27 15:19:27,361][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: --------------
[2023-11-27 15:19:27,844][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: --------------
[2023-11-27 15:19:28,326][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: --------------
[2023-11-27 15:19:28,808][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: --------------
[2023-11-27 15:19:29,288][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: --------------
[2023-11-27 15:19:29,770][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: --------------
[2023-11-27 15:19:30,261][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: --------------
[2023-11-27 15:19:30,746][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: --------------
[2023-11-27 15:19:31,229][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: --------------
[2023-11-27 15:19:31,713][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: --------------
[2023-11-27 15:19:32,193][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: --------------
[2023-11-27 15:19:32,677][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: --------------
[2023-11-27 15:19:33,158][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: --------------
[2023-11-27 15:19:33,643][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: --------------
[2023-11-27 15:19:34,124][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: --------------
[2023-11-27 15:19:34,605][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: --------------
[2023-11-27 15:19:35,085][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: --------------
[2023-11-27 15:19:35,568][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: --------------
[2023-11-27 15:19:36,048][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: --------------
[2023-11-27 15:19:36,529][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: --------------
[2023-11-27 15:19:37,010][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: --------------
[2023-11-27 15:19:37,491][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: --------------
[2023-11-27 15:19:37,973][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: --------------
[2023-11-27 15:19:38,454][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: --------------
[2023-11-27 15:19:38,935][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: --------------
[2023-11-27 15:19:39,416][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: --------------
[2023-11-27 15:19:39,897][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: --------------
[2023-11-27 15:19:40,379][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: --------------
[2023-11-27 15:19:40,859][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: --------------
[2023-11-27 15:19:41,595][__main__][INFO] - Finished design in 0.44 minutes
