[2023-11-27 17:55:24,237][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 17:55:24,238][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 17:55:28,975][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 17:55:29,111][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 17:55:29,132][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 17:55:29,136][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 17:55:30,108][rfdiffusion.inference.model_runners][INFO] - Sequence init: ------------------
[2023-11-27 17:55:36,681][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ------------------
[2023-11-27 17:55:37,146][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ------------------
[2023-11-27 17:55:37,563][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ------------------
[2023-11-27 17:55:37,981][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ------------------
[2023-11-27 17:55:38,401][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ------------------
[2023-11-27 17:55:38,817][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ------------------
[2023-11-27 17:55:39,235][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ------------------
[2023-11-27 17:55:39,648][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ------------------
[2023-11-27 17:55:40,063][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ------------------
[2023-11-27 17:55:40,477][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ------------------
[2023-11-27 17:55:40,895][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ------------------
[2023-11-27 17:55:41,313][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ------------------
[2023-11-27 17:55:41,725][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ------------------
[2023-11-27 17:55:42,140][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ------------------
[2023-11-27 17:55:42,552][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ------------------
[2023-11-27 17:55:42,967][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ------------------
[2023-11-27 17:55:43,489][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ------------------
[2023-11-27 17:55:43,933][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ------------------
[2023-11-27 17:55:44,354][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ------------------
[2023-11-27 17:55:44,767][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ------------------
[2023-11-27 17:55:45,186][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ------------------
[2023-11-27 17:55:45,601][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ------------------
[2023-11-27 17:55:46,016][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ------------------
[2023-11-27 17:55:46,435][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ------------------
[2023-11-27 17:55:46,848][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ------------------
[2023-11-27 17:55:47,262][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ------------------
[2023-11-27 17:55:47,676][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ------------------
[2023-11-27 17:55:48,088][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ------------------
[2023-11-27 17:55:48,500][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ------------------
[2023-11-27 17:55:48,914][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ------------------
[2023-11-27 17:55:49,333][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: ------------------
[2023-11-27 17:55:49,744][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: ------------------
[2023-11-27 17:55:50,159][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: ------------------
[2023-11-27 17:55:50,570][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: ------------------
[2023-11-27 17:55:50,982][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: ------------------
[2023-11-27 17:55:51,400][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: ------------------
[2023-11-27 17:55:51,819][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: ------------------
[2023-11-27 17:55:52,233][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ------------------
[2023-11-27 17:55:52,645][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ------------------
[2023-11-27 17:55:53,056][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ------------------
[2023-11-27 17:55:53,469][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ------------------
[2023-11-27 17:55:53,880][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ------------------
[2023-11-27 17:55:54,301][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ------------------
[2023-11-27 17:55:54,714][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ------------------
[2023-11-27 17:55:55,133][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ------------------
[2023-11-27 17:55:55,545][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ------------------
[2023-11-27 17:55:55,958][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: ------------------
[2023-11-27 17:55:56,374][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: ------------------
[2023-11-27 17:55:56,786][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: ------------------
[2023-11-27 17:55:57,453][__main__][INFO] - Finished design in 0.47 minutes
