[2023-11-27 21:23:26,087][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 21:23:26,088][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 21:23:42,444][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 21:23:42,606][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 21:23:42,713][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 21:23:42,718][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 21:23:42,766][rfdiffusion.inference.model_runners][INFO] - Sequence init: ----------
[2023-11-27 21:23:53,608][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ----------
[2023-11-27 21:23:54,099][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ----------
[2023-11-27 21:23:54,585][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ----------
[2023-11-27 21:23:55,069][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ----------
[2023-11-27 21:23:55,554][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ----------
[2023-11-27 21:23:56,042][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ----------
[2023-11-27 21:23:56,526][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ----------
[2023-11-27 21:23:57,010][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ----------
[2023-11-27 21:23:57,503][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ----------
[2023-11-27 21:23:57,993][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ----------
[2023-11-27 21:23:58,483][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ----------
[2023-11-27 21:23:58,971][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ----------
[2023-11-27 21:23:59,454][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ----------
[2023-11-27 21:23:59,939][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ----------
[2023-11-27 21:24:00,434][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ----------
[2023-11-27 21:24:00,923][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ----------
[2023-11-27 21:24:01,509][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ----------
[2023-11-27 21:24:01,994][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ----------
[2023-11-27 21:24:02,480][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ----------
[2023-11-27 21:24:02,964][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ----------
[2023-11-27 21:24:03,448][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ----------
[2023-11-27 21:24:03,935][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ----------
[2023-11-27 21:24:04,421][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ----------
[2023-11-27 21:24:04,904][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ----------
[2023-11-27 21:24:05,388][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ----------
[2023-11-27 21:24:05,871][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ----------
[2023-11-27 21:24:06,355][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ----------
[2023-11-27 21:24:06,843][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ----------
[2023-11-27 21:24:07,329][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ----------
[2023-11-27 21:24:07,811][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ----------
