[2023-11-27 21:25:36,089][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 21:25:36,090][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 21:25:43,311][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 21:25:43,473][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 21:25:43,532][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 21:25:43,536][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 21:25:43,549][rfdiffusion.inference.model_runners][INFO] - Sequence init: ---------------
[2023-11-27 21:25:45,991][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ---------------
[2023-11-27 21:25:46,491][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ---------------
[2023-11-27 21:25:46,984][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ---------------
[2023-11-27 21:25:47,477][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ---------------
[2023-11-27 21:25:47,969][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ---------------
[2023-11-27 21:25:48,459][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ---------------
[2023-11-27 21:25:48,953][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ---------------
[2023-11-27 21:25:49,447][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ---------------
[2023-11-27 21:25:49,936][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ---------------
[2023-11-27 21:25:50,425][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ---------------
[2023-11-27 21:25:50,915][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ---------------
[2023-11-27 21:25:51,407][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ---------------
[2023-11-27 21:25:51,903][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ---------------
[2023-11-27 21:25:52,394][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ---------------
[2023-11-27 21:25:52,884][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ---------------
[2023-11-27 21:25:53,374][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ---------------
[2023-11-27 21:25:53,960][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ---------------
[2023-11-27 21:25:54,455][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ---------------
[2023-11-27 21:25:54,946][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ---------------
[2023-11-27 21:25:55,439][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ---------------
[2023-11-27 21:25:55,930][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ---------------
[2023-11-27 21:25:56,420][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ---------------
[2023-11-27 21:25:56,910][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ---------------
[2023-11-27 21:25:57,409][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ---------------
[2023-11-27 21:25:57,901][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ---------------
[2023-11-27 21:25:58,391][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ---------------
[2023-11-27 21:25:58,881][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ---------------
[2023-11-27 21:25:59,372][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ---------------
[2023-11-27 21:25:59,866][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ---------------
[2023-11-27 21:26:00,368][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ---------------
[2023-11-27 21:26:00,863][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: ---------------
[2023-11-27 21:26:01,356][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: ---------------
[2023-11-27 21:26:01,848][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: ---------------
[2023-11-27 21:26:02,337][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: ---------------
[2023-11-27 21:26:02,828][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: ---------------
[2023-11-27 21:26:03,319][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: ---------------
[2023-11-27 21:26:03,844][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: ---------------
[2023-11-27 21:26:04,332][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ---------------
[2023-11-27 21:26:04,822][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ---------------
[2023-11-27 21:26:05,311][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ---------------
[2023-11-27 21:26:05,804][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ---------------
[2023-11-27 21:26:06,293][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ---------------
[2023-11-27 21:26:06,785][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ---------------
[2023-11-27 21:26:07,280][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ---------------
[2023-11-27 21:26:07,781][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ---------------
[2023-11-27 21:26:08,283][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ---------------
[2023-11-27 21:26:08,776][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: ---------------
[2023-11-27 21:26:09,268][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: ---------------
[2023-11-27 21:26:09,757][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: ---------------
[2023-11-27 21:26:10,481][__main__][INFO] - Finished design in 0.45 minutes
