[2023-11-27 21:33:44,651][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 21:33:44,652][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 21:33:50,038][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 21:33:50,200][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 21:33:50,244][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 21:33:50,247][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 21:33:50,261][rfdiffusion.inference.model_runners][INFO] - Sequence init: -----------------
[2023-11-27 21:33:52,595][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -----------------
[2023-11-27 21:33:53,093][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -----------------
[2023-11-27 21:33:53,587][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -----------------
[2023-11-27 21:33:54,079][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -----------------
[2023-11-27 21:33:54,569][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -----------------
[2023-11-27 21:33:55,059][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -----------------
[2023-11-27 21:33:55,551][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -----------------
[2023-11-27 21:33:56,043][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -----------------
[2023-11-27 21:33:56,532][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -----------------
[2023-11-27 21:33:57,021][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -----------------
[2023-11-27 21:33:57,511][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -----------------
[2023-11-27 21:33:58,011][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -----------------
[2023-11-27 21:33:58,510][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -----------------
[2023-11-27 21:33:59,002][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -----------------
[2023-11-27 21:33:59,492][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -----------------
[2023-11-27 21:33:59,982][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -----------------
[2023-11-27 21:34:00,568][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -----------------
[2023-11-27 21:34:01,065][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -----------------
[2023-11-27 21:34:01,557][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -----------------
[2023-11-27 21:34:02,047][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -----------------
[2023-11-27 21:34:02,538][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -----------------
[2023-11-27 21:34:03,030][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -----------------
[2023-11-27 21:34:03,519][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -----------------
[2023-11-27 21:34:04,019][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -----------------
[2023-11-27 21:34:04,509][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -----------------
[2023-11-27 21:34:04,998][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -----------------
[2023-11-27 21:34:05,487][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -----------------
[2023-11-27 21:34:05,977][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -----------------
[2023-11-27 21:34:06,470][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -----------------
[2023-11-27 21:34:06,962][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -----------------
[2023-11-27 21:34:07,453][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -----------------
[2023-11-27 21:34:07,942][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -----------------
[2023-11-27 21:34:08,432][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -----------------
