[2023-11-27 21:38:07,668][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 21:38:07,669][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 21:38:12,223][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 21:38:12,385][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 21:38:12,401][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 21:38:12,405][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 21:38:12,419][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------------
[2023-11-27 21:38:14,769][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------------
[2023-11-27 21:38:15,270][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------------
[2023-11-27 21:38:15,766][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------------
[2023-11-27 21:38:16,260][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------------
[2023-11-27 21:38:16,754][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------------
[2023-11-27 21:38:17,245][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------------
[2023-11-27 21:38:17,741][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------------
[2023-11-27 21:38:18,237][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------------
[2023-11-27 21:38:18,729][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------------
[2023-11-27 21:38:19,221][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------------
[2023-11-27 21:38:19,713][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------------
[2023-11-27 21:38:20,205][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------------
[2023-11-27 21:38:20,705][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -------------------
[2023-11-27 21:38:21,197][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -------------------
[2023-11-27 21:38:21,688][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -------------------
[2023-11-27 21:38:22,180][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -------------------
[2023-11-27 21:38:22,766][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -------------------
[2023-11-27 21:38:23,266][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -------------------
[2023-11-27 21:38:23,760][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -------------------
[2023-11-27 21:38:24,253][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -------------------
[2023-11-27 21:38:24,746][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -------------------
[2023-11-27 21:38:25,239][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -------------------
[2023-11-27 21:38:25,733][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -------------------
[2023-11-27 21:38:26,230][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -------------------
[2023-11-27 21:38:26,723][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -------------------
[2023-11-27 21:38:27,215][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -------------------
[2023-11-27 21:38:27,709][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -------------------
[2023-11-27 21:38:28,208][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -------------------
[2023-11-27 21:38:28,709][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -------------------
[2023-11-27 21:38:29,204][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -------------------
[2023-11-27 21:38:29,696][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -------------------
[2023-11-27 21:38:30,195][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -------------------
[2023-11-27 21:38:30,689][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -------------------
