[2023-11-27 21:56:47,296][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 21:56:47,297][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 21:56:51,746][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 21:56:51,907][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 21:56:51,927][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 21:56:51,931][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 21:56:51,944][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------
[2023-11-27 21:56:54,323][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------
[2023-11-27 21:56:54,818][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------
[2023-11-27 21:56:55,305][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------
[2023-11-27 21:56:55,794][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------
[2023-11-27 21:56:56,281][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------
[2023-11-27 21:56:56,768][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------
[2023-11-27 21:56:57,254][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------
[2023-11-27 21:56:57,746][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------
[2023-11-27 21:56:58,233][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------
[2023-11-27 21:56:58,719][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------
[2023-11-27 21:56:59,208][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------
[2023-11-27 21:56:59,709][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------
[2023-11-27 21:57:00,211][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -------------
[2023-11-27 21:57:00,707][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -------------
[2023-11-27 21:57:01,200][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -------------
[2023-11-27 21:57:01,687][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -------------
[2023-11-27 21:57:02,273][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -------------
[2023-11-27 21:57:02,766][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -------------
[2023-11-27 21:57:03,253][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -------------
[2023-11-27 21:57:03,738][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -------------
[2023-11-27 21:57:04,225][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -------------
[2023-11-27 21:57:04,711][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -------------
[2023-11-27 21:57:05,197][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -------------
[2023-11-27 21:57:05,688][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -------------
[2023-11-27 21:57:06,176][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -------------
[2023-11-27 21:57:06,662][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -------------
[2023-11-27 21:57:07,148][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -------------
[2023-11-27 21:57:07,634][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -------------
[2023-11-27 21:57:08,122][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -------------
[2023-11-27 21:57:08,610][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -------------
[2023-11-27 21:57:09,094][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -------------
[2023-11-27 21:57:09,576][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -------------
[2023-11-27 21:57:10,059][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -------------
[2023-11-27 21:57:10,541][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: -------------
[2023-11-27 21:57:11,025][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: -------------
[2023-11-27 21:57:11,509][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: -------------
[2023-11-27 21:57:11,993][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: -------------
[2023-11-27 21:57:12,475][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: -------------
[2023-11-27 21:57:12,963][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: -------------
[2023-11-27 21:57:13,447][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: -------------
[2023-11-27 21:57:13,931][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: -------------
[2023-11-27 21:57:14,413][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: -------------
[2023-11-27 21:57:14,898][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: -------------
[2023-11-27 21:57:15,380][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: -------------
[2023-11-27 21:57:15,864][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: -------------
[2023-11-27 21:57:16,347][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: -------------
[2023-11-27 21:57:16,831][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: -------------
[2023-11-27 21:57:17,313][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: -------------
[2023-11-27 21:57:17,798][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: -------------
[2023-11-27 21:57:18,475][__main__][INFO] - Finished design in 0.44 minutes
