[2023-11-27 22:11:47,918][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 22:11:47,919][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 22:11:58,606][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 22:11:58,740][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 22:11:58,797][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 22:11:58,801][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 22:11:58,811][rfdiffusion.inference.model_runners][INFO] - Sequence init: ----------------
[2023-11-27 22:12:01,594][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ----------------
[2023-11-27 22:12:02,305][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ----------------
[2023-11-27 22:12:03,017][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ----------------
[2023-11-27 22:12:03,736][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ----------------
[2023-11-27 22:12:04,438][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ----------------
[2023-11-27 22:12:05,161][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ----------------
[2023-11-27 22:12:05,885][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ----------------
[2023-11-27 22:12:06,589][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ----------------
[2023-11-27 22:12:07,309][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ----------------
[2023-11-27 22:12:08,020][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ----------------
[2023-11-27 22:12:08,736][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ----------------
[2023-11-27 22:12:09,457][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ----------------
[2023-11-27 22:12:10,191][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ----------------
[2023-11-27 22:12:10,919][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ----------------
[2023-11-27 22:12:11,638][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ----------------
[2023-11-27 22:12:12,337][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ----------------
[2023-11-27 22:12:13,152][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ----------------
[2023-11-27 22:12:13,866][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ----------------
[2023-11-27 22:12:14,528][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ----------------
[2023-11-27 22:12:15,063][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ----------------
[2023-11-27 22:12:15,796][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ----------------
[2023-11-27 22:12:16,514][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ----------------
[2023-11-27 22:12:17,224][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ----------------
[2023-11-27 22:12:17,924][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ----------------
[2023-11-27 22:12:18,625][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ----------------
[2023-11-27 22:12:19,346][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ----------------
[2023-11-27 22:12:20,030][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ----------------
[2023-11-27 22:12:20,750][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ----------------
[2023-11-27 22:12:21,476][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ----------------
