[2023-11-28 12:01:42,519][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-28 12:01:42,520][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Protein_design2/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-28 12:02:00,401][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-28 12:02:00,541][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2023-11-28 12:02:22,409][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-28 12:02:22,412][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-28 12:02:22,459][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------
[2023-11-28 12:02:33,167][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------
[2023-11-28 12:02:33,583][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------
[2023-11-28 12:02:33,993][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------
[2023-11-28 12:02:34,510][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------
[2023-11-28 12:02:34,920][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------
[2023-11-28 12:02:35,330][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------
[2023-11-28 12:02:35,736][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------
[2023-11-28 12:02:36,144][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------
[2023-11-28 12:02:36,549][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------
[2023-11-28 12:02:36,955][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------
[2023-11-28 12:02:37,360][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------
[2023-11-28 12:02:37,765][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------
[2023-11-28 12:02:38,172][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -------------
[2023-11-28 12:02:38,579][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -------------
[2023-11-28 12:02:38,988][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -------------
[2023-11-28 12:02:39,394][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -------------
[2023-11-28 12:02:39,798][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -------------
[2023-11-28 12:02:40,203][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -------------
[2023-11-28 12:02:40,609][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -------------
[2023-11-28 12:02:41,016][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -------------
[2023-11-28 12:02:41,421][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -------------
[2023-11-28 12:02:41,827][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -------------
[2023-11-28 12:02:42,240][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -------------
[2023-11-28 12:02:42,648][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -------------
[2023-11-28 12:02:43,054][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -------------
[2023-11-28 12:02:43,461][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -------------
[2023-11-28 12:02:43,867][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -------------
[2023-11-28 12:02:44,272][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -------------
[2023-11-28 12:02:44,677][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -------------
[2023-11-28 12:02:45,082][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -------------
[2023-11-28 12:02:45,493][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -------------
[2023-11-28 12:02:45,904][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -------------
[2023-11-28 12:02:46,307][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -------------
[2023-11-28 12:02:46,713][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: -------------
[2023-11-28 12:02:47,117][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: -------------
[2023-11-28 12:02:47,522][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: -------------
[2023-11-28 12:02:47,927][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: -------------
[2023-11-28 12:02:48,331][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: -------------
[2023-11-28 12:02:48,735][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: -------------
[2023-11-28 12:02:49,140][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: -------------
[2023-11-28 12:02:49,543][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: -------------
[2023-11-28 12:02:49,949][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: -------------
[2023-11-28 12:02:50,351][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: -------------
[2023-11-28 12:02:50,757][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: -------------
[2023-11-28 12:02:51,162][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: -------------
[2023-11-28 12:02:51,567][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: -------------
[2023-11-28 12:02:51,971][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: -------------
[2023-11-28 12:02:52,374][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: -------------
[2023-11-28 12:02:52,778][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: -------------
[2023-11-28 12:02:53,339][__main__][INFO] - Finished design in 0.52 minutes
